Transaction ID,Transaction Type,Asset ID,Date Of Transaction,Money Amount,Purchase/Sale Price Per Splint,Fees,Purchase/Sale Confirmation,Day1Profit
759241,Marketplace purchase,a36fa6e2-6ea2-4904-bdb4-bd41b8b23f1b,02.04.2026,50.40 EUR,50.40 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-04-02 - 1MFE9kQe.pdf,
753395,Primary market purchase,21f735b6-6060-4db4-9294-4c12b39df750,24.03.2026,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-03-24 - Bdpe8HJv.pdf,
752736,Exit sale,d79e0664-f7a4-43d3-8d87-2845129e100a,23.03.2026,70.86 EUR,70.86 EUR,0.00 EUR,generated_files/Exit confirmation 2026-03-23 - R2JgDzyg.pdf,
750274,Primary market purchase,9521c06c-5f65-4bc2-bf6c-3e9353163e9c,18.03.2026,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-03-18 - j6BLE2jT.pdf,
750048,Primary market purchase,4b155703-78d1-4b3f-b85f-459d1a2a240e,17.03.2026,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-03-17 - bg3jH0og.pdf,
743863,Marketplace purchase,bc762b6c-2592-4795-87ad-ebc2e539b5ed,06.03.2026,61.44 EUR,61.44 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-03-06 - X8SF5PfJ.pdf,8.95
743868,Primary market purchase,82d1b9cc-fb06-40e7-bb8f-01f827f38432,06.03.2026,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-03-06 - Gu1GAm93.pdf,
743870,Primary market purchase,4ec79cff-19aa-4ba1-ab48-3ba01ecadc7e,06.03.2026,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-03-06 - CkfmPSkf.pdf,
730886,Marketplace purchase,b7a01413-7405-4b74-a212-d4fd77331e1a,16.02.2026,48.00 EUR,48.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-02-16 - 5L6A1odt.pdf,3.47
730888,Marketplace purchase,dbdf2243-c2ec-4e37-8dee-d36cb2e503a3,16.02.2026,43.00 EUR,43.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-02-16 - yVMXmykJ.pdf,
730891,Marketplace purchase,6ea266db-8054-452f-a64e-16c348495304,16.02.2026,50.80 EUR,50.80 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-02-16 - Jt1r8DB0.pdf,6.89
728597,Primary market purchase,ff19c3bd-93b4-4b9d-8b50-4e1a4b128850,13.02.2026,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-02-13 - odbAuN43.pdf,
729293,Exit sale,8cf13993-c475-4452-ae6c-c94557b5a90d,13.02.2026,67.31 EUR,67.31 EUR,0.00 EUR,generated_files/Exit confirmation 2026-02-17 - a09shAKF.pdf,
727525,Primary market purchase,2e3a7629-499c-4d11-8cd0-0d718f34f36b,12.02.2026,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-02-12 - gliagFIX.pdf,
727054,Primary market purchase,5fbfddaf-6a7a-4631-bb3f-c0c65233b052,10.02.2026,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-02-10 - ej5YTHVu.pdf,3.33
727057,Primary market purchase,e7a786fe-6784-42ee-8404-4dd38682bc4c,10.02.2026,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-02-10 - JR2fnyzH.pdf,0.27
724405,Primary market purchase,d467a92e-3d34-40e2-8882-c853229aa727,05.02.2026,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-02-05 - dvOm5eel.pdf,
724432,Marketplace purchase,f7391f3b-30bc-401a-a433-74d13a39b89a,05.02.2026,59.70 EUR,59.70 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-02-05 - oSkxph66.pdf,8.08
722062,Marketplace purchase,271f0e9b-8210-4385-bd63-972e1ab080e2,02.02.2026,54.80 EUR,54.80 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-02-02 - UMvhVCub.pdf,
714974,Marketplace purchase,40d33f88-4d3d-4370-90e8-c73e0e8e4bfe,23.01.2026,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-01-23 - 2LNMwd14.pdf,1.57
714976,Marketplace purchase,203a6e72-7221-4df0-9583-f1e8b8a13450,23.01.2026,53.90 EUR,53.90 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-01-23 - SGMC17DU.pdf,
714984,Primary market purchase,e10407fe-2c72-4490-a6df-a2fe786219ab,23.01.2026,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-01-23 - d7Oau9bn.pdf,
709745,Primary market purchase,bfdea409-ff34-490d-939b-58e047254c7e,16.01.2026,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-01-16 - JfE3CqnC.pdf,
709512,Primary market purchase,cdf4de9a-7d20-4ae1-91f8-24bed347cbb5,15.01.2026,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-01-15 - GVWg4tt4.pdf,
709521,Marketplace purchase,6bd641c1-ba46-4c74-893f-3e2b0567cea1,15.01.2026,55.00 EUR,55.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-01-15 - 8GDpgnJ8.pdf,5.53
709523,Marketplace purchase,f8fdee45-ec64-4081-87ff-13679e757d88,15.01.2026,52.00 EUR,52.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-01-15 - 12wAT8Xn.pdf,5.45
700996,Primary market purchase,4b354942-b3b9-4237-b7d0-df9cf1f3a79e,06.01.2026,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-01-06 - HwG1Z8RU.pdf,
693855,Primary market purchase,1f7f07b5-bf17-4ee8-a9c5-13f9f82d76b2,03.01.2026,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-01-03 - dBJmBBq8.pdf,
693858,Primary market purchase,3a8b7778-7281-40dd-a6c0-f380149a6a3e,03.01.2026,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2026-01-03 - HH9y0M62.pdf,
685644,Marketplace purchase,fc78cdd8-92fc-456b-ac2f-2b7794e25270,26.12.2025,49.90 EUR,49.90 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-12-26 - ekZbiPa1.pdf,0.94
681640,Marketplace purchase,74010d65-6962-4c1f-98e7-0c1aeb763a53,19.12.2025,51.50 EUR,51.50 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-12-19 - 6jI9pmp4.pdf,
680464,Marketplace purchase,036ce9d2-cfb6-4e04-80e6-440d59906806,18.12.2025,49.90 EUR,49.90 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-12-18 - KYfFEIWe.pdf,0.3
680467,Marketplace purchase,0ee5ca21-9c1f-47d7-a031-14bf647ede71,18.12.2025,44.40 EUR,44.40 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-12-18 - 2KnLMfJO.pdf,
680470,Marketplace purchase,23e1a6ae-a446-4c49-a76a-8bb3f46f92ed,18.12.2025,52.90 EUR,52.90 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-12-18 - AXIGRCAJ.pdf,1.31
676724,Primary market purchase,de3340bd-583d-4427-a949-dd7320547d43,12.12.2025,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-12-12 - psmCOZe7.pdf,
676431,Marketplace purchase,f8904bc0-d734-404d-b988-1d70a469d8f1,11.12.2025,47.40 EUR,47.40 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-12-11 - EsQqbIvL.pdf,
675458,Exit sale,59fa9656-57bf-485f-8916-a91a4b716579,09.12.2025,89.43 EUR,89.43 EUR,0.00 EUR,generated_files/Exit confirmation 2025-12-09 - 6CpnaHis.pdf,
675494,Primary market purchase,455f43f8-191b-4a87-bccf-d111ed52ab9f,09.12.2025,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-12-09 - 4kziIDfz.pdf,
675548,Primary market purchase,ad9e26eb-1047-4737-acc7-2de07e158814,09.12.2025,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-12-09 - i9c1ePLZ.pdf,
673384,Marketplace purchase,64eae5ed-ac3e-4311-a070-558d57dcfa36,05.12.2025,58.70 EUR,58.70 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-12-05 - GAwwpYkZ.pdf,
674006,Marketplace sale,d81ce499-35e6-4eab-b061-c8dc05cb9c0b,05.12.2025,67.00 EUR,67.00 EUR,0.00 EUR,generated_files/Sales confirmation 2025-12-05 - 9esZ7iJT.pdf,
673060,Marketplace sale,9154463c-62ca-4303-ba28-f2133685dcfd,04.12.2025,50.90 EUR,50.90 EUR,0.00 EUR,generated_files/Sales confirmation 2025-12-04 - ePFQKQVs.pdf,
673062,Marketplace sale,ab6a0b14-d6c7-4200-afa4-6a8e8c9ebce1,04.12.2025,69.90 EUR,69.90 EUR,0.00 EUR,generated_files/Sales confirmation 2025-12-04 - TjhG5bQI.pdf,
673163,Marketplace sale,aafb5d40-5d1f-40ea-8900-d567f2d893fc,04.12.2025,72.00 EUR,72.00 EUR,0.00 EUR,generated_files/Sales confirmation 2025-12-04 - mdBzNF0J.pdf,
673166,Primary market purchase,d6bc6f41-bec9-4b1d-b3d3-caca635482f2,04.12.2025,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-12-04 - mC8H1ywR.pdf,
673220,Marketplace purchase,8a1a9ce3-eb8d-4190-a28c-1b181cacdfdc,04.12.2025,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-12-04 - 3bSDoem9.pdf,
672441,Primary market purchase,780970ba-c15f-4881-b370-b083dd1e4b14,03.12.2025,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-12-03 - tFXiP1OD.pdf,
672449,Primary market purchase,7a84b983-0dfb-4303-9547-a5f9e2cca8e1,03.12.2025,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-12-03 - gynH8xYL.pdf,
668938,Marketplace purchase,1588c8ec-4727-4279-afc0-65be8fa369dc,28.11.2025,40.90 EUR,40.90 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-11-28 - E2EsEndb.pdf,
664863,Marketplace purchase,2b2ac7b1-85c5-4fc5-9d63-9c7f094152ab,21.11.2025,51.90 EUR,51.90 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-11-21 - nbmyhz5r.pdf,3.99
664865,Marketplace purchase,b0ba4e49-7786-42e1-ba70-1269017884e3,21.11.2025,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-11-21 - NZQUeQ3X.pdf,1.99
661055,Marketplace purchase,64169723-b0fe-46f5-ba8a-2e371c3c28d0,14.11.2025,56.50 EUR,56.50 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-11-14 - NL200Mkx.pdf,
661057,Marketplace purchase,f92d95cb-ca4a-43a7-a7d8-f3c5c7a566e8,14.11.2025,55.60 EUR,55.60 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-11-14 - iVONdbHG.pdf,
656789,Marketplace purchase,7db39931-690c-4d3d-b295-572ed743ce81,06.11.2025,55.70 EUR,55.70 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-11-06 - SxRviWCd.pdf,
655734,Primary market purchase,98c54d3c-cd95-4be3-8730-eb2bc35dd318,05.11.2025,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-11-05 - TPVUltiy.pdf,
633382,Primary market purchase,5d68c85d-b9b3-4d2e-bdda-49233cb8a086,03.10.2025,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-10-03 - cwH23nSU.pdf,
632766,Marketplace purchase,986cab76-e434-443b-96a9-287606b8d0b4,02.10.2025,52.30 EUR,52.30 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-10-02 - NiNznZUR.pdf,
632770,Marketplace purchase,9db6e785-f001-4512-88c2-535d9d7646aa,02.10.2025,44.50 EUR,44.50 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-10-02 - E4qs5nYp.pdf,6.22
632773,Marketplace purchase,5b225d20-07fa-4e91-8f7d-9f529a2c83f3,02.10.2025,44.50 EUR,44.50 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-10-02 - O8HgLLT1.pdf,6.22
618957,Marketplace purchase,e2bd069b-dd06-4000-bcb5-310d15ba2deb,11.09.2025,48.00 EUR,48.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-09-11 - uyHqJC9g.pdf,2.92
616638,Primary market purchase,fd0b5669-3740-4710-b93c-deab9c0d1ba7,08.09.2025,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-09-08 - xDdjxjiE.pdf,
616640,Primary market purchase,e9f8bb6f-76ba-45e1-9cdb-f77ba1ccaaf7,08.09.2025,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-09-08 - bX0ZJuky.pdf,
603115,Marketplace purchase,c3698e49-4eb2-4e5c-a2b4-885274c755ec,21.08.2025,56.90 EUR,56.90 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-08-21 - mCmmSWcS.pdf,
603118,Primary market purchase,a61edda7-dc36-4de1-a125-27c7e92425e2,21.08.2025,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-08-21 - gH7FbdK6.pdf,
598660,Marketplace purchase,d79e0664-f7a4-43d3-8d87-2845129e100a,14.08.2025,52.00 EUR,52.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-08-14 - h1d2lNAA.pdf,
595265,Marketplace purchase,5a969f81-932b-4ec0-8e6f-69c39eea88f2,07.08.2025,51.00 EUR,51.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-08-07 - FOeF5Skz.pdf,5.4
586840,Marketplace purchase,b8d983d5-7292-4d13-b2ea-89e881c5d1fb,25.07.2025,49.70 EUR,49.70 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-07-25 - dbUbzGcZ.pdf,5.21
584600,Primary market purchase,326925af-ad63-4d20-87cf-303d06fa585b,23.07.2025,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-07-23 - AqN6BreQ.pdf,
576255,Primary market purchase,93d8c24b-a04b-426d-bade-0d2b6f39e17d,09.07.2025,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-07-09 - XoN5g7ZX.pdf,5.52
571915,Marketplace purchase,aafb5d40-5d1f-40ea-8900-d567f2d893fc,03.07.2025,54.90 EUR,54.90 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-07-03 - nEdGdPoS.pdf,2.33
571919,Marketplace purchase,437960b4-2ca4-4a83-9325-bee17ffccba5,03.07.2025,48.50 EUR,48.50 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-07-03 - pB0aESpZ.pdf,4.18
571923,Marketplace purchase,074e1d64-8043-4002-8792-620ab7ae41d9,03.07.2025,47.10 EUR,47.10 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-07-03 - mr49Ezj3.pdf,4.09
571933,Marketplace purchase,9154463c-62ca-4303-ba28-f2133685dcfd,03.07.2025,51.50 EUR,51.50 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-07-03 - 6DzvSClE.pdf,1.99
569010,Primary market purchase,d81ce499-35e6-4eab-b061-c8dc05cb9c0b,28.06.2025,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-06-28 - jMCXj9ok.pdf,
555308,Primary market purchase,e1c98c29-d94f-48f8-930a-ed251b4a2936,04.06.2025,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-06-04 - RdB8NzbW.pdf,8.16
555315,Primary market purchase,81956185-9d57-4273-afa1-797b4f21b7a0,04.06.2025,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-06-04 - Nz1q7VaX.pdf,
548701,Marketplace purchase,231a0763-ce31-4f02-9472-fbe0a66cda31,22.05.2025,43.60 EUR,43.60 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-05-22 - PVJYwrBh.pdf,
540077,Marketplace purchase,b0de4457-0175-4953-9a27-b48e74dcb779,08.05.2025,43.30 EUR,43.30 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-05-08 - Tm6o8yfG.pdf,3.75
540083,Marketplace purchase,5069aa65-f12f-46a1-845c-4f299c37d84e,08.05.2025,42.60 EUR,42.60 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-05-08 - crBVdL03.pdf,3.73
540089,Marketplace purchase,d49828a9-d5d0-4427-bdc4-d45da3748109,08.05.2025,55.60 EUR,55.60 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-05-08 - 48Eu2qLp.pdf,
540096,Marketplace purchase,09e27fc7-08f1-47a7-8983-628294c23929,08.05.2025,46.50 EUR,46.50 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-05-08 - AyidNfNr.pdf,
539384,Primary market purchase,e693145f-5b5c-4bbe-9292-7efe91da1312,07.05.2025,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-05-07 - kxVf1tUT.pdf,
535872,Marketplace purchase,05a9a7b4-ad4e-443f-bf99-fc5d0047749c,01.05.2025,51.40 EUR,51.40 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-05-01 - 60flo3IS.pdf,1.39
530957,Marketplace purchase,b0f9829c-8ba1-4d3f-8d78-dfff260a0e00,24.04.2025,34.80 EUR,8.70 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-04-24 - 29gAMWCU.pdf,
525744,Primary market purchase,64eae5ed-ac3e-4311-a070-558d57dcfa36,13.04.2025,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-04-13 - Tb6UQhTe.pdf,
525747,Primary market purchase,24879b9d-d906-4cd3-8ec8-913c7e727bb7,13.04.2025,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-04-13 - uD52cII2.pdf,
523901,Marketplace purchase,2964ccb2-172a-496a-bf09-b06357d858c1,10.04.2025,49.90 EUR,49.90 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-04-10 - m7znEpOp.pdf,
523926,Marketplace purchase,af93cd3b-d74f-4873-b19a-ecdabeeb2586,10.04.2025,53.50 EUR,53.50 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-04-10 - mVcvoH60.pdf,4.6
523931,Marketplace purchase,0a68e368-3993-47cc-b044-1d8c45b71788,10.04.2025,48.50 EUR,48.50 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-04-10 - B6GttdGj.pdf,2.49
509717,Marketplace purchase,e97e2085-c668-4d1d-8bd5-f4bf80c35128,13.03.2025,53.50 EUR,53.50 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-03-13 - DOieqGsV.pdf,4.68
509727,Marketplace purchase,ab6a0b14-d6c7-4200-afa4-6a8e8c9ebce1,13.03.2025,52.90 EUR,52.90 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-03-13 - W28zAKQ5.pdf,
506049,Marketplace purchase,e97b96c4-de04-428c-a3db-266245f4f548,06.03.2025,59.60 EUR,59.60 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-03-06 - CPfnPqos.pdf,7.6
506082,Marketplace purchase,7f39cf2f-2933-4095-9984-d7e00287387c,06.03.2025,51.10 EUR,51.10 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-03-06 - SvuqyO5z.pdf,4.43
506108,Marketplace purchase,a4bbcf2f-b426-410f-b37c-6e0f5731b28d,06.03.2025,52.50 EUR,52.50 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-03-06 - Mll32b82.pdf,9.19
505203,Primary market purchase,3dccf35d-7408-4cdd-8fc4-716dadc84696,05.03.2025,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-03-05 - jL0a4XsY.pdf,7.3
505209,Primary market purchase,de7a7b19-51b3-4ce4-9093-a48db4863e38,05.03.2025,50.00 EUR,50.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-03-05 - TbB0yyJ8.pdf,3.38
493016,Marketplace purchase,b0c360e7-a401-4517-8426-e880ee516119,13.02.2025,51.20 EUR,51.20 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-02-13 - y5uEqv45.pdf,7.75
493072,Marketplace purchase,5133f379-d243-433f-be45-9d97d366ad39,13.02.2025,49.90 EUR,49.90 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-02-13 - 8N3zgncq.pdf,
493088,Marketplace purchase,6b0a2283-e11b-47c9-9cf3-3a999ce09ec1,13.02.2025,53.70 EUR,53.70 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-02-13 - vcBRF8WA.pdf,7.75
490182,Marketplace purchase,7fb00fcd-bbc5-4c24-8abd-f97fcbb3b3ba,06.02.2025,40.00 EUR,40.00 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-02-06 - 5bR0Rpvy.pdf,
490195,Marketplace purchase,2711a4ca-2045-440c-81b2-9538a41be505,06.02.2025,51.60 EUR,51.60 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-02-06 - qOErn3XX.pdf,2.77
490226,Marketplace purchase,97cb3aa5-02e2-4fb8-9c6a-23bcda3388b8,06.02.2025,56.40 EUR,56.40 EUR,0.00 EUR,generated_files/Purchase confirmation 2025-02-06 - eBPAdxaP.pdf,
